,专辑名称,专辑链接,专辑评分,评分人数,歌手,发行日期,类型,介质,曲风
106,魔杰座 Capricorn,https://music.douban.com/subject/3222423/,7.9,64751,周杰伦,2008-10-09,专辑,CD,流行
107,X&Y 染色体,https://music.douban.com/subject/1394600/,8.6,35810,Coldplay,2005-06-07,专辑,CD,摇滚
108,19,https://music.douban.com/subject/2347182/,8.6,37237,Adele,2008-01-28,Import,Audio CD,放克/灵歌/R&B
109,时光机 mayday's time machine,https://music.douban.com/subject/1408748/,9.1,34917,五月天,2003-11-11,专辑,CD,摇滚
110,Yan Zi 孙燕姿同名专辑,https://music.douban.com/subject/1405022/,9.1,38181,孙燕姿,2000-06-08,专辑,CD,流行
111,Time Flies 时日如飞,https://music.douban.com/subject/4706451/,8.9,34393,陈奕迅,2010-03-12,EP,CD+DVD,流行
112,失败者的飞翔,https://music.douban.com/subject/3143363/,8.6,29916,陈绮贞,2008-07-13,单曲,CD,流行
113,My Love,https://music.douban.com/subject/6722110/,8.4,36873,田馥甄,2011-09-02,专辑,CD,流行
114,亲亲 親親,https://music.douban.com/subject/1891318/,8.3,35854,梁静茹,2006-10-06,专辑,CD,流行
115,你王菲所以我王菲,https://music.douban.com/subject/1769327/,9.5,37018,王菲,2002,选集,CD,流行
116,Stranger Under My Skin,https://music.douban.com/subject/6082657/,8.8,33299,陈奕迅,2011-02-22,EP,CD,流行
117,Come Away with Me 远走高飞,https://music.douban.com/subject/1394747/,8.9,31739,Norah Jones,2002,专辑,CD,爵士
118,平凡之路 电影《后会无期》宣传曲,https://music.douban.com/subject/25927970/,9.1,84440,朴树,2014-07-16,单曲,数字(Digital),原声
119,认了吧 Admit it,https://music.douban.com/subject/2052256/,8.9,40654,陈奕迅,2007-04-24,专辑,CD,流行
120,21st Century Breakdown,https://music.douban.com/subject/3533452/,8.7,31705,Green Day,2009-05-15,专辑,CD,摇滚
121,神的游戏 Games We Play / 神的遊戲,https://music.douban.com/subject/11027027/,9.2,46646,張懸,2012-08-10,专辑,CD,流行
122,唱游,https://music.douban.com/subject/1394808/,9.4,45141,王菲,1998,Import,CD,流行
123,花的姿态：演唱会经典实录 花的姿態經典實錄精裝版2CD+DVD,https://music.douban.com/subject/2078050/,9.3,27287,陈绮贞,2007-05-18,演唱会/Live,CD DVD,民谣
124,我去2000年,https://music.douban.com/subject/1405324/,9.4,47636,朴树,1999-1,专辑,CD,流行
125,Young For You,https://music.douban.com/subject/1758337/,8.8,30781,GALA,2004,专辑,CD,摇滚
126,自选集 Start Yan-zi,https://music.douban.com/subject/1405050/,9.0,30577,孙燕姿,2002年1月,专辑,CD,流行
127,理性与感性 作品音乐会 Sense and Sensibility,https://music.douban.com/subject/2266925/,9.6,28985,李宗盛 Jonathan,2007-09-28,专辑,CD,流行
128,比天空还远,https://music.douban.com/subject/2350942/,8.5,27969,曹方,2007-11-20,EP,CD,流行
129,黑梦 Black Dream,https://music.douban.com/subject/2299845/,9.4,48452,窦唯,1994-10,专辑,CD,摇滚
130,不能说的秘密 不能說的秘密,https://music.douban.com/subject/2164654/,9.1,47029,"周杰倫,Terdsak Janpan,詹宇豪,陳承麒,黃婉琦,姚蘇蓉,黃俊郎,江語晨,長榮交響樂團",2007-08-13,Soundtrack,CD,原声
131,丝路 通往爱的路途,https://music.douban.com/subject/1427941/,8.3,33035,梁静茹 Fish,2005-9-16,专辑,CD,流行
132,All The Lost Souls,https://music.douban.com/subject/2153935/,8.6,26696,James Blunt,2007-09-18,Import,Audio CD,流行
133,F.I.R.,https://music.douban.com/subject/1408794/,8.9,44203,飞儿乐团 F.I.R.,2004-04-29,专辑,CD,流行
134,上五楼的快活,https://music.douban.com/subject/4009831/,7.8,30354,陈奕迅,2009-09-23,专辑,CD,流行
135,Minutes to Midnight 末日警钟,https://music.douban.com/subject/2042799/,8.4,27992,Linkin Park,2007-05-15,专辑,Audio CD,摇滚
136,GOODBYE & HELLO,https://music.douban.com/subject/2264207/,8.7,30208,"蔡健雅,Tanya",2007-10-19,专辑,CD,流行
137,Someone Like You,https://music.douban.com/subject/6064884/,9.5,42739,Adele,2011-01-24,单曲,数字(Digital),放克/灵歌/R&B
138,迟到千年,https://music.douban.com/subject/1875211/,9.0,27675,苏打绿,2006-09-18,EP,CD,流行
139,The Dark Side of the Moon,https://music.douban.com/subject/1395685/,9.5,55139,Pink Floyd,1973,专辑,黑胶,摇滚
140,王菲 Faye Wong 2001,https://music.douban.com/subject/3837067/,9.2,35110,王菲,2001,专辑,CD,流行
141,夜空中最亮的星,https://music.douban.com/subject/6974122/,9.2,64932,逃跑计划,2011-04-12,单曲,数字(Digital),摇滚
142,追梦痴子心,https://music.douban.com/subject/6047523/,8.9,38461,GALA,2011-03-24,专辑,CD,摇滚
143,宝贝,https://music.douban.com/subject/4884299/,8.0,27837,莫文蔚,2010-07-26,专辑,CD,流行
144,"黑白灰 Black, White & Grey / 黑·白·灰",https://music.douban.com/subject/1401759/,9.1,29109,陈奕迅,2003,专辑,CD,流行
145,安和桥北 献给张先诺先生,https://music.douban.com/subject/25709562/,8.9,55644,宋冬野,2013-08-26,专辑,CD,民谣
146,Prisoner of Love 爱的囚徒,https://music.douban.com/subject/3035043/,9.3,27666,宇多田ヒカル,2008-05-21,CD IMPORT,Audio CD,流行
147,Groupies 吉他手 Groupies,https://music.douban.com/subject/1394549/,9.3,40079,陈绮贞,2002-08-02,专辑,CD,流行
148,Now The Day Is Over 美好的一天,https://music.douban.com/subject/1404703/,8.4,24856,The Innocence Mission,2004,专辑,CD,民谣
149,Apologize,https://music.douban.com/subject/2285727/,9.2,34204,"Timbaland,OneRepublic",2007-11-06,Single,Audio CD,摇滚
150,阿菲正传 阿菲正傳,https://music.douban.com/subject/3815932/,9.4,26901,王菲,2009-06-25,选集,CD,流行
151,跨时代,https://music.douban.com/subject/4820650/,7.8,45775,周杰伦,2010-05-14,专辑,CD,流行
152,Leave 離開,https://music.douban.com/subject/1949354/,8.8,28736,孙燕姿,2002-5-21,专辑,CD,流行
153,被禁忌的游戏,https://music.douban.com/subject/1933017/,9.0,31006,李志,2004-12,专辑,CD,民谣
154,What's Going On....?,https://music.douban.com/subject/1920622/,9.3,31716,陈奕迅,2006,专辑,CD,流行
155,第二人生 末日版 SECOND ROUND - NO WHERE,https://music.douban.com/subject/7065468/,9.2,27942,五月天,2011-12-20,专辑,CD,流行
156,樂之路 Ultrasound 1997-2003 / 乐之路,https://music.douban.com/subject/1407536/,9.2,29522,陶喆,2003-08-08,选集,CD,流行
157,It Won't Be Soon Before Long 久等了,https://music.douban.com/subject/2032823/,8.4,25795,Maroon 5,2007-05-22,专辑,CD,流行
158,如果你冷 如果你冷,https://music.douban.com/subject/3264192/,8.6,27841,张悬,2008-10-20,Bootleg,数字,民谣
159,陌生人,https://music.douban.com/subject/1408650/,8.7,27385,蔡健雅 Tanya Chua,2003-06-00,专辑,CD,流行
160,浮躁,https://music.douban.com/subject/1395176/,9.4,43393,王菲,1996,,Audio CD,流行
161,C'est La Vie 这就是生活,https://music.douban.com/subject/1442576/,8.3,25463,自然卷,2004,专辑,CD,民谣
162,在一起 Together,https://music.douban.com/subject/5355197/,7.9,25034,刘若英,2010-04-16,专辑,CD,流行
163,These Friends Of Mine,https://music.douban.com/subject/1999781/,8.8,23385,Rosie Thomas,2007-03-13,专辑,Audio CD,民谣
164,陪我歌唱 苏打绿台北小巨蛋演唱会Live Cd:陪我歌唱,https://music.douban.com/subject/3226297/,9.2,24615,苏打绿,2008,引进版,CD,
165,"It's Not Me, It's You 关我屁事",https://music.douban.com/subject/3770091/,8.2,24491,Lily Allen,2009-02-09,专辑,Audio CD,流行
166,The Rose~I Love Cinemas~,https://music.douban.com/subject/2977909/,9.3,24607,手嶌葵,2008-03-05,Import,CD,流行
167,我爱南京,https://music.douban.com/subject/4060882/,9.0,34590,李志,2009-10-16,专辑,CD,民谣
168,消失的光年 消失的光年,https://music.douban.com/subject/2144752/,8.3,23709,大乔小乔,2007-07-12,平装版,CD,民谣
169,还有别的办法吗,https://music.douban.com/subject/1439133/,8.7,23538,范晓萱,2004,专辑,CD,流行
170,日光倾城,https://music.douban.com/subject/2058669/,8.2,24864,卡奇社,2007-04-20,专辑,CD,流行
171,A Little Love 一点爱,https://music.douban.com/subject/3566603/,8.5,23649,冯曦妤,2008-11-20,专辑,CD,流行
172,Yellow 黄色,https://music.douban.com/subject/1458367/,9.5,38737,Coldplay,2000-07-03,EP,Audio CD,摇滚
173,Hopes And Fears,https://music.douban.com/subject/1395452/,8.9,23397,Keane,2004,专辑,Audio CD,摇滚
174,U87,https://music.douban.com/subject/1394541/,9.4,32245,陈奕迅,2005-06-07,专辑,CD+DVD,流行
175,Lady Sleep 睡美人,https://music.douban.com/subject/1419566/,8.8,21685,Maximilian Hecker,2005,Import,Audio CD,摇滚
176,天空の城ラピュタ サウンドトラック 飛行石の謎 天空之城 原声碟,https://music.douban.com/subject/1395762/,9.6,27337,"久石譲(Joe Hisaishi),杉並児童合唱団,井上杏美",1993-12-21,Soundtrack,Audio CD,原声
177,新长征路上的摇滚,https://music.douban.com/subject/1394742/,9.5,36583,崔健,1989-02-01,专辑,CD,摇滚
178,小飞行,https://music.douban.com/subject/3567851/,8.0,22970,"棉花糖,katncandix2",2009-05-01,专辑,CD,民谣
179,春生,https://music.douban.com/subject/10831759/,8.9,24285,好妹妹乐队,2012-07-01,专辑,CD,民谣
180,讓我想一想 让我想一想,https://music.douban.com/subject/1788941/,9.1,28675,陈绮贞,1998-07-14,专辑,CD,民谣
181,未来 Wonderland,https://music.douban.com/subject/2359692/,8.5,27898,方大同,2007-12-28,专辑,CD,放克/灵歌/R&B
182,爱爱爱 愛愛愛 / THIS LOVE,https://music.douban.com/subject/1950025/,8.9,31008,方大同,2006-12,专辑,CD,放克/灵歌/R&B
183,世界 Earth,https://music.douban.com/subject/10430415/,9.0,28729,逃跑计划,2011-12-31,专辑,CD,摇滚
184,七天 盧廣仲 Crowd Lu 2009 New Album 2009 全新創作專輯,https://music.douban.com/subject/4032611/,7.9,23305,"盧廣仲,卢广仲",2009-10-30,专辑,CD,民谣
185,Nirvana,https://music.douban.com/subject/1416697/,9.3,23324,Nirvana,2002-10-29,Extra tracks,Audio CD,摇滚
186,A Rush of  Blood to the Head,https://music.douban.com/subject/1455695/,8.8,26861,Coldplay,2002,专辑,Audio CD,摇滚
187,The Velvet Underground & Nico 地下丝绒与妮可,https://music.douban.com/subject/1986653/,9.3,36242,"The Velvet Underground,Nico",1967-04,专辑,CD,摇滚
188,Love The Way You Lie,https://music.douban.com/subject/5322559/,9.3,29295,"Eminem,Rihanna",2010-08-20,Single,Audio CD,说唱
189,天空 Sky,https://music.douban.com/subject/1776070/,9.4,33669,王菲,1994,专辑,CD,流行
190,The Boat That Rocked,https://music.douban.com/subject/3788747/,9.3,20346,Original Soundtrack,2009-03-30,Import,Soundtrack,CD
191,(What's The Story) Morning Glory?,https://music.douban.com/subject/1395617/,9.3,31098,Oasis,1995,Enhanced,Audio CD,摇滚
192,PUSSY,https://music.douban.com/subject/1982538/,8.7,22058,陈绮贞,2007-02-08,单曲,Audio CD,民谣
193,呼吸 Breathe - All About Lily Chou-Chou / Lily Chou-Chou：呼吸,https://music.douban.com/subject/1421569/,9.1,23737,Salyu,2001,专辑,CD,原声
194,Fallen,https://music.douban.com/subject/1394997/,8.5,21500,Evanescence,2003,专辑,Audio CD,摇滚
195,黑豹,https://music.douban.com/subject/1413627/,9.3,29129,黑豹,1992-12-01,专辑,CD,摇滚
196,十年一刻,https://music.douban.com/subject/4923069/,9.0,24655,苏打绿,2010-08-27,视频,CD+DVD,流行
197,恋爱的力量 The Power Of Love Songs,https://music.douban.com/subject/1403802/,9.0,23386,梁静茹,2003年3月,专辑,CD,流行
198,Suede,https://music.douban.com/subject/1394569/,9.0,26184,Suede,1993,专辑,CD,摇滚
199,The Bends,https://music.douban.com/subject/1394652/,9.3,35781,Radiohead,1995,Import,Audio CD,摇滚
200,琵琶相 Pipa images LIN HAI & FRIENDS 2,https://music.douban.com/subject/1462686/,9.4,22242,林海,2004,专辑,CD,轻音乐
201,？ 问号,https://music.douban.com/subject/6903119/,8.1,25532,陈奕迅,2011-11-11,专辑,CD,流行
202,少年故事,https://music.douban.com/subject/2154228/,8.2,22455,彭坦,2007-07-23,专辑,CD,流行
203,黑暗之光,https://music.douban.com/subject/1923738/,8.9,22051,雷光夏,2006-12-01,专辑,CD,民谣
204,我要我们在一起,https://music.douban.com/subject/1419831/,8.8,25034,范晓萱,1999-11-1,国语,CD,流行
205,人生海海,https://music.douban.com/subject/1419375/,9.3,27640,五月天,2001-07-06,专辑,CD,摇滚
206,Maybe I'm Dreaming 可能我在做梦,https://music.douban.com/subject/3021469/,8.4,20849,Owl City,2008-03-18,Import,CD,流行
207,工体东路没有人,https://music.douban.com/subject/3435496/,9.2,23516,李志,2009-01-22,专辑,数字,民谣
208,Let It Be,https://music.douban.com/subject/1401365/,9.5,28365,The Beatles,1970,Enhanced,Audio CD,摇滚
209,"Alright,Still 一如既往",https://music.douban.com/subject/1796484/,8.4,20742,Lily Allen,2006,Import,Audio CD,流行
210,大小說家 Fiction,https://music.douban.com/subject/10767657/,8.2,26040,林宥嘉,2012-06-22,专辑,CD,流行
211,越长大越孤单,https://music.douban.com/subject/3013779/,7.8,28504,牛奶@咖啡,2008-03-18,专辑,CD,流行
212,燕尾蝶 燕尾蝶-下定愛的決心,https://music.douban.com/subject/1403801/,8.2,26997,梁静茹,2004,专辑,CD,流行
213,原谅我就是这样的女生 原諒我就是這樣的女生,https://music.douban.com/subject/3729307/,7.7,22023,戴佩妮,2009-05-16,专辑,CD+DVD,流行
214,传奇,https://music.douban.com/subject/5365287/,9.1,28506,王菲,2010-11-05,单曲,CD,民谣
215,Under the Radar 墜入琴網,https://music.douban.com/subject/3158576/,8.4,19471,Daniel Powter,2008-10-14,专辑,Audio CD,流行
216,知足 MV / Karaoke DVD,https://music.douban.com/subject/2083053/,9.3,20297,五月天,2006,视频,DVD,流行
217,我的歌声里,https://music.douban.com/subject/11524982/,8.1,22014,曲婉婷,2012-07-01,专辑,CD,流行
218,王菲 快樂/不快樂,https://music.douban.com/subject/1394693/,9.4,35032,王菲,1997-09-30,专辑,CD,流行
